utc,clocks.sm,clocks.mem,temperature.gpu,power.draw,utilization.gpu
2026-09-06T16:16:11Z,270,1593,28,63.43,0
2026-09-06T16:16:41Z,1140,1593,30,73.32,0
2026-09-06T16:17:12Z,1140,1593,29,73.05,0
2026-09-06T16:17:43Z,1140,1593,29,73.05,4
2026-09-06T16:18:14Z,1140,1593,29,73.05,0
2026-09-06T16:18:45Z,1140,1593,29,73.05,2
2026-09-06T16:19:16Z,1140,1593,29,73.05,1
2026-09-06T16:19:47Z,1140,1593,29,73.05,1
2026-09-06T16:20:18Z,1140,1593,29,73.05,1
2026-09-06T16:20:49Z,1140,1593,29,73.05,1
2026-09-06T16:21:20Z,1140,1593,29,73.05,2
2026-09-06T16:21:51Z,1140,1593,29,73.05,2
2026-09-06T16:22:21Z,1140,1593,29,73.05,2
2026-09-06T16:22:53Z,1140,1593,29,72.97,2
2026-09-06T16:23:24Z,1140,1593,29,77.04,2
2026-09-06T16:23:54Z,1410,1593,36,233.12,100
2026-09-06T16:24:25Z,1410,1593,35,217.96,100
2026-09-06T16:24:55Z,1140,1593,33,78.26,33
2026-09-06T16:25:26Z,1410,1593,35,93.35,0
2026-09-06T16:25:57Z,1410,1593,40,217.01,100
2026-09-06T16:26:27Z,1410,1593,40,198.19,100
2026-09-06T16:26:57Z,1140,1593,31,73.93,3
2026-09-06T16:27:28Z,1140,1593,30,73.32,1
2026-09-06T16:27:59Z,1140,1593,30,73.32,3
2026-09-06T16:28:30Z,1140,1593,30,77.04,3
2026-09-06T16:29:01Z,1140,1593,30,99.95,1
2026-09-06T16:29:32Z,1140,1593,30,73.32,1
2026-09-06T16:30:03Z,1140,1593,30,73.32,3
2026-09-06T16:30:35Z,1140,1593,30,73.32,3
2026-09-06T16:31:06Z,1140,1593,30,76.71,0
2026-09-06T16:31:37Z,1140,1593,29,73.05,0
2026-09-06T16:32:08Z,1140,1593,29,73.05,0
2026-09-06T16:32:38Z,1410,1593,38,147.77,66
2026-09-06T16:33:08Z,1410,1593,46,264.94,100
2026-09-06T16:33:38Z,1410,1593,47,270.28,100
2026-09-06T16:34:08Z,1410,1593,48,260.07,100
2026-09-06T16:34:38Z,1410,1593,46,281.37,100
2026-09-06T16:35:09Z,1140,1593,32,74.26,2
