utc,clocks.sm,clocks.mem,temperature.gpu,power.draw,utilization.gpu
2026-09-15T08:50:26Z,210,1593,25,64.93,0
2026-09-15T08:50:56Z,1155,1593,27,86.04,0
2026-09-15T08:51:26Z,1155,1593,28,86.59,0
2026-09-15T08:51:57Z,1155,1593,27,86.13,0
2026-09-15T08:52:28Z,1155,1593,27,86.15,0
2026-09-15T08:52:58Z,1155,1593,27,85.89,0
2026-09-15T08:53:29Z,1155,1593,27,86.07,2
2026-09-15T08:54:00Z,1155,1593,27,85.71,0
2026-09-15T08:54:30Z,1155,1593,27,85.82,0
2026-09-15T08:55:01Z,1155,1593,26,85.89,2
2026-09-15T08:55:32Z,1155,1593,27,86.07,2
2026-09-15T08:56:02Z,1155,1593,28,86.57,0
2026-09-15T08:56:33Z,1155,1593,28,86.15,0
2026-09-15T08:57:04Z,1155,1593,27,85.98,0
2026-09-15T08:57:35Z,1155,1593,27,86.50,0
2026-09-15T08:58:06Z,1155,1593,27,86.13,0
2026-09-15T08:58:36Z,1155,1593,29,86.50,0
2026-09-15T08:59:06Z,1410,1593,37,245.48,100
2026-09-15T08:59:36Z,1410,1593,39,243.90,100
2026-09-15T09:00:06Z,1410,1593,33,120.68,27
2026-09-15T09:00:37Z,1410,1593,38,230.60,100
2026-09-15T09:01:07Z,1155,1593,28,86.17,3
2026-09-15T09:01:37Z,1155,1593,28,85.84,0
2026-09-15T09:02:08Z,1155,1593,28,85.57,0
2026-09-15T09:02:39Z,1155,1593,28,85.57,0
2026-09-15T09:03:09Z,1155,1593,27,85.57,0
2026-09-15T09:03:40Z,1155,1593,27,85.66,0
2026-09-15T09:04:10Z,1155,1593,28,85.57,0
2026-09-15T09:04:41Z,1155,1593,27,85.57,0
2026-09-15T09:05:12Z,1155,1593,27,85.25,0
2026-09-15T09:05:43Z,1155,1593,27,85.57,0
2026-09-15T09:06:13Z,1155,1593,27,85.25,3
2026-09-15T09:06:44Z,1155,1593,27,85.25,0
2026-09-15T09:07:14Z,1410,1593,37,240.54,100
2026-09-15T09:07:44Z,1410,1593,41,284.45,100
2026-09-15T09:08:14Z,1410,1593,42,282.66,100
2026-09-15T09:08:44Z,1410,1593,42,307.38,100
2026-09-15T09:09:14Z,1410,1593,43,281.75,100
2026-09-15T09:09:44Z,1155,1593,29,88.60,2
2026-09-15T09:10:15Z,1155,1593,27,85.57,0
2026-09-15T09:10:46Z,1155,1593,27,85.57,2
2026-09-15T09:11:16Z,1155,1593,27,85.57,2
2026-09-15T09:11:47Z,1155,1593,27,85.25,0
2026-09-15T09:12:18Z,1155,1593,27,86.17,0
2026-09-15T09:12:48Z,1155,1593,27,86.76,2
2026-09-15T09:13:19Z,1155,1593,28,85.93,0
2026-09-15T09:13:50Z,1155,1593,28,86.17,0
2026-09-15T09:14:21Z,1155,1593,28,86.26,0
2026-09-15T09:14:51Z,1155,1593,28,91.90,0
2026-09-15T09:15:22Z,1155,1593,28,85.57,2
2026-09-15T09:15:52Z,1410,1593,34,179.72,70
2026-09-15T09:16:23Z,1410,1593,39,257.09,100
2026-09-15T09:16:53Z,1410,1593,40,253.47,100
2026-09-15T09:17:23Z,1410,1593,40,258.61,100
2026-09-15T09:17:53Z,1410,1593,41,257.09,100
2026-09-15T09:18:23Z,1155,1593,28,85.84,0
2026-09-15T09:18:54Z,1155,1593,28,110.58,0
2026-09-15T09:19:24Z,1155,1593,28,163.62,0
2026-09-15T09:19:55Z,1155,1593,28,85.57,11
2026-09-15T09:20:26Z,1155,1593,28,86.17,11
2026-09-15T09:20:56Z,1155,1593,28,85.25,0
2026-09-15T09:21:27Z,1155,1593,27,86.26,0
2026-09-15T09:21:58Z,1155,1593,28,143.10,0
2026-09-15T09:22:29Z,1155,1593,27,86.17,11
2026-09-15T09:22:59Z,1155,1593,27,89.20,0
2026-09-15T09:23:30Z,1155,1593,27,86.17,12
2026-09-15T09:24:01Z,1155,1593,27,86.17,0
2026-09-15T09:24:31Z,1410,1593,37,259.79,100
2026-09-15T09:25:01Z,1410,1593,39,280.29,100
2026-09-15T09:25:32Z,1410,1593,34,117.50,0
2026-09-15T09:26:02Z,1410,1593,40,261.58,100
2026-09-15T09:26:32Z,1410,1593,41,273.64,100
2026-09-15T09:27:02Z,1410,1593,41,330.84,100
2026-09-15T09:27:32Z,1410,1593,41,278.45,100
2026-09-15T09:28:02Z,1410,1593,40,282.66,100
2026-09-15T09:28:32Z,1410,1593,44,337.76,100
2026-09-15T09:29:02Z,1410,1593,41,277.53,100
2026-09-15T09:29:32Z,1410,1593,41,279.64,100
2026-09-15T09:30:02Z,1410,1593,48,347.11,100
2026-09-15T09:30:34Z,1410,1593,47,269.74,100
