
### cps: winners  triton=[64, 4]  cuda=[128, 8, 4]  cute=[512, 4, 1]
regime                                   triton     cuda     cute  tri/cute cuda/cute  cute winner cfg
P=1024,HAS_QB=0,D=128,B=16,W=4            0.132    0.075    0.153     0.86x     0.49x  [1024, 8, 2]
P=1024,HAS_QB=1,D=128,B=16,W=4            0.128    0.091    0.216     0.59x     0.42x  [256, 8, 2]
P=8192,HAS_QB=0,D=128,B=16,W=4            0.139    0.137    0.157     0.88x     0.87x  [512, 8, 2]
P=8192,HAS_QB=1,D=128,B=16,W=4            0.133    0.152    0.227     0.59x     0.67x  [512, 8, 1]
P=65536,HAS_QB=0,D=128,B=16,W=4           0.222    0.233    0.233     0.95x     1.00x  [512, 4, 4]
P=65536,HAS_QB=1,D=128,B=16,W=4           0.209    0.229    0.297     0.70x     0.77x  [512, 4, 1]

### cpse: winners  triton=[256, 8]  cuda=[256, 8, 4]  cute=[256, 4, 1]
regime                                   triton     cuda     cute  tri/cute cuda/cute  cute winner cfg
N=797085,B=1,C=4,A_MAX=4                  0.130    0.123    0.225     0.58x     0.55x  [1024, 8, 4]
N=797085,B=16,C=4,A_MAX=4                 0.157    0.161    0.193     0.82x     0.83x  [256, 8, 4]
N=2988997,B=1,C=5,A_MAX=4                 0.134    0.124    0.220     0.61x     0.56x  [512, 4, 2]
N=2988997,B=16,C=5,A_MAX=4                0.168    0.173    0.225     0.74x     0.77x  [256, 4, 1]
N=15000001,B=16,C=5,A_MAX=4               0.169    0.173    0.219     0.77x     0.79x  [512, 4, 4]
