mode     B      P  pass   triton     cuda     cute  tri/cute cuda/cute
none     1   1024  1.00    0.133    0.068    0.156     0.86x     0.43x
none     1  58368  1.00    0.201    0.136    0.229     0.88x     0.60x
none    16   1024  1.00    0.130    0.082    0.158     0.82x     0.52x
none    16  58368  1.00    0.249    0.250    0.250     1.00x     1.00x
bloom    1   1024  0.00    0.130    0.079    0.230     0.57x     0.35x
bloom    1  58368  0.00    0.204    0.156    0.312     0.65x     0.50x
bloom   16   1024  0.00    0.131    0.090    0.240     0.54x     0.37x
bloom   16  58368  0.00    0.280    0.213    0.317     0.88x     0.67x
bloom   16  46720  0.00    0.257    0.200    0.318     0.81x     0.63x
exact    1   1024  0.97    0.151    0.089    0.254     0.60x     0.35x
exact    1  58368  0.96    0.220    0.160    0.317     0.69x     0.51x
exact   16   1024  0.96    0.139    0.087    0.238     0.58x     0.36x
exact   16  58368  0.96    0.299    0.306    0.327     0.91x     0.94x
exact   16  46720  0.96    0.271    0.277    0.330     0.82x     0.84x
