mode     B      P  pass   triton     cuda     cute  tri/cute cuda/cute
none     1   1024 1.000    0.131    0.066    0.098     1.34x     0.68x
none     1  58368 1.000    0.201    0.140    0.172     1.17x     0.81x
none    16   1024 1.000    0.126    0.082    0.098     1.29x     0.84x
none    16  58368 1.000    0.250    0.250    0.250     1.00x     1.00x
bloom    1   1024 0.000    0.121    0.079    0.135     0.90x     0.58x
bloom    1  58368 0.002    0.197    0.155    0.202     0.98x     0.77x
bloom   16   1024 0.001    0.122    0.089    0.125     0.98x     0.72x
bloom   16  58368 0.002    0.281    0.213    0.203     1.38x     1.05x
bloom   16  46720 0.002    0.256    0.201    0.209     1.23x     0.96x
exact    1   1024 0.972    0.135    0.078    0.129     1.05x     0.61x
exact    1  58368 0.960    0.214    0.156    0.209     1.02x     0.75x
exact   16   1024 0.963    0.138    0.087    0.131     1.05x     0.66x
exact   16  58368 0.961    0.299    0.306    0.305     0.98x     1.00x
exact   16  46720 0.960    0.270    0.278    0.277     0.98x     1.00x
