utc,clocks.sm,clocks.mem,temperature.gpu,power.draw,utilization.gpu
2026-09-15T08:18:45Z,1155,1593,28,86.41,0
2026-09-15T08:19:06Z,1410,1593,28,117.64,21
2026-09-15T08:19:15Z,1155,1593,27,85.91,0
2026-09-15T08:19:36Z,1155,1593,27,85.82,0
2026-09-15T08:19:46Z,1155,1593,26,85.73,0
2026-09-15T08:20:07Z,1155,1593,26,85.89,0
2026-09-15T08:20:16Z,1410,1593,29,118.52,3
2026-09-15T08:20:37Z,1155,1593,27,85.73,4
2026-09-15T08:20:46Z,1155,1593,27,91.75,4
2026-09-15T08:21:08Z,1155,1593,27,87.87,4
2026-09-15T08:21:17Z,1155,1593,27,85.82,4
2026-09-15T08:21:39Z,1155,1593,29,87.29,2
2026-09-15T08:21:47Z,1155,1593,29,86.83,5
2026-09-15T08:22:09Z,1155,1593,29,86.57,6
2026-09-15T08:22:18Z,1155,1593,28,89.26,5
2026-09-15T08:22:40Z,1155,1593,29,86.59,0
2026-09-15T08:22:49Z,1410,1593,32,120.52,0
2026-09-15T08:23:11Z,1155,1593,28,87.53,4
2026-09-15T08:23:19Z,1155,1593,28,86.48,4
2026-09-15T08:23:42Z,1155,1593,28,93.50,4
2026-09-15T08:23:50Z,1155,1593,28,86.68,4
2026-09-15T08:24:12Z,1155,1593,28,86.48,5
2026-09-15T08:24:20Z,1155,1593,28,88.20,7
2026-09-15T08:24:43Z,1155,1593,28,86.24,5
2026-09-15T08:24:51Z,1155,1593,28,94.52,4
2026-09-15T08:25:13Z,1155,1593,28,105.90,0
2026-09-15T08:25:22Z,1410,1593,30,119.55,0
2026-09-15T08:25:43Z,1155,1593,28,87.70,5
2026-09-15T08:25:52Z,1155,1593,28,86.07,3
2026-09-15T08:26:14Z,1155,1593,28,94.28,5
2026-09-15T08:26:23Z,1155,1593,28,86.39,3
2026-09-15T08:26:45Z,1155,1593,28,86.04,4
2026-09-15T08:26:53Z,1155,1593,28,88.75,3
2026-09-15T08:27:16Z,1155,1593,28,86.31,4
2026-09-15T08:27:24Z,1155,1593,27,100.78,4
2026-09-15T08:27:47Z,1155,1593,27,86.39,0
2026-09-15T08:27:55Z,1155,1593,28,86.50,3
2026-09-15T08:28:17Z,1155,1593,27,91.94,3
2026-09-15T08:28:25Z,1155,1593,27,86.50,5
2026-09-15T08:28:48Z,1155,1593,28,85.89,3
2026-09-15T08:28:55Z,1410,1593,31,205.48,0
2026-09-15T08:29:18Z,1155,1593,28,86.41,4
2026-09-15T08:29:26Z,1155,1593,28,88.05,4
2026-09-15T08:29:49Z,1155,1593,27,88.57,2
2026-09-15T08:29:56Z,1155,1593,27,86.50,3
2026-09-15T08:30:20Z,1155,1593,29,98.74,4
2026-09-15T08:30:27Z,1155,1593,28,87.29,4
2026-09-15T08:30:51Z,1155,1593,28,86.33,4
2026-09-15T08:30:57Z,1155,1593,28,91.14,4
2026-09-15T08:31:22Z,1155,1593,29,87.45,6
2026-09-15T08:31:28Z,1155,1593,28,88.93,5
2026-09-15T08:31:53Z,1155,1593,27,88.05,4
2026-09-15T08:31:59Z,1155,1593,27,86.13,4
2026-09-15T08:32:23Z,1410,1593,33,254.61,56
2026-09-15T08:32:29Z,255,1593,26,66.01,0
2026-09-15T08:32:53Z,1155,1593,28,86.13,4
2026-09-15T08:33:00Z,1155,1593,27,93.87,4
2026-09-15T08:33:24Z,1155,1593,27,85.98,4
2026-09-15T08:33:30Z,1155,1593,27,86.50,3
2026-09-15T08:33:55Z,1155,1593,27,86.41,3
2026-09-15T08:34:01Z,1155,1593,27,86.07,4
2026-09-15T08:34:26Z,1155,1593,27,89.78,5
2026-09-15T08:34:31Z,1155,1593,27,86.39,5
2026-09-15T08:34:57Z,1410,1593,30,119.13,0
2026-09-15T08:35:02Z,915,1593,27,78.57,0
2026-09-15T08:35:27Z,1155,1593,27,86.04,3
2026-09-15T08:35:32Z,1155,1593,27,86.31,3
2026-09-15T08:35:58Z,1155,1593,27,86.24,3
2026-09-15T08:36:03Z,1155,1593,27,85.98,3
2026-09-15T08:36:28Z,1155,1593,27,87.10,2
2026-09-15T08:36:33Z,1155,1593,27,86.04,2
2026-09-15T08:36:59Z,1155,1593,27,93.39,4
2026-09-15T08:37:04Z,1155,1593,27,86.74,4
2026-09-15T08:37:30Z,1155,1593,27,86.15,0
2026-09-15T08:38:00Z,1410,1593,30,117.43,0
2026-09-15T08:38:30Z,1155,1593,27,87.53,3
2026-09-15T08:39:01Z,1410,1593,30,175.57,0
2026-09-15T08:39:31Z,1155,1593,28,86.31,4
2026-09-15T08:40:02Z,1155,1593,27,86.48,4
