cell                                                                   check                 verdict  detail
-------------------------------------------------------------------------------------------------------------
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-triton-s0-{}        quality recall@100    PASS     v2 0.999695 golden 0.999695 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-triton-s0-{}        quality ndcg@100      PASS     v2 0.999781 golden 0.999781 |diff| 6.0e-12 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-triton-s0-{}        quality recall@500    PASS     v2 0.999657 golden 0.999657 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-triton-s0-{}        quality ndcg@500      PASS     v2 0.999729 golden 0.999729 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-triton-s0-{}        quality recall@1000   PASS     v2 0.999627 golden 0.999627 |diff| 1.1e-16 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-triton-s0-{}        quality ndcg@1000     PASS     v2 0.999696 golden 0.999696 |diff| 1.0e-09 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-triton-s0-{}        latency k=100 bs=1    FAIL     v2 graph 0.4519 ms golden 0.5242 ms ratio 0.862 [sm 1410/1155 MHz → normalised ratio 1.053]; v2 eager 0.4888 ms
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-triton-s0-{}        latency k=100 bs=8    FAIL     v2 graph 1.1043 ms golden 1.0887 ms ratio 1.014 [sm 1410/1155 MHz → normalised ratio 1.238]; v2 eager 1.1350 ms
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-triton-s0-{}        latency k=100 bs=16   FAIL     v2 graph 1.9439 ms golden 1.8948 ms ratio 1.026 [sm 1410/1155 MHz → normalised ratio 1.252]; v2 eager 1.9711 ms
goodreads-d128-clause/c0_genre-linr_v1_filter_mask-triton-s0-{}        latency k=500 bs=1    FAIL     v2 graph 0.4653 ms golden 0.4741 ms ratio 0.982 [sm 1410/1155 MHz → normalised ratio 1.198]; v2 eager 0.5071 ms
