utc,clocks.sm,clocks.mem,temperature.gpu,power.draw,utilization.gpu
2026-09-06T15:06:07Z,210,1593,28,63.09,0
2026-09-06T15:06:40Z,1140,1593,29,73.05,0
2026-09-06T15:07:10Z,1140,1593,31,73.32,24
2026-09-06T15:07:40Z,1140,1593,29,73.05,0
2026-09-06T15:08:13Z,1140,1593,29,73.05,0
2026-09-06T15:08:44Z,1140,1593,29,73.05,0
2026-09-06T15:09:15Z,1140,1593,30,73.93,1
2026-09-06T15:09:46Z,1140,1593,29,73.05,1
2026-09-06T15:10:17Z,1140,1593,30,73.65,2
2026-09-06T15:10:48Z,1140,1593,29,80.16,2
2026-09-06T15:11:18Z,210,1593,29,63.43,0
